Sistema de Informações Hidrológicas
Versão Web 3.0
© 2018 Agência Nacional de Águas (ANA)

NivelConsistencia: 1 = Bruto, 2 = Consistido
MediaDiaria: 0 = Não, 1 = Sim
MetodoObtencaoVazoes: 1 = Curva de descarga, 2 = Transferência de vazões, 3 = Soma de vazões, 4 = ADCP
Status: 0 = Branco, 1 = Real, 2 = Estimado, 3 = Duvidoso, 4 = Régua Seca

Restrições da consulta:
Código da Estação:64005000


EstacaoCodigo;NivelConsistencia;MetodoObtencaoVazoes;Data;Vazao;Status
64005000;1;1;17/01/1970;72,919;
64005000;1;1;18/01/1970;17,364;
64005000;1;1;19/01/1970;15,353;
64005000;1;1;20/01/1970;21,875;
64005000;1;1;21/01/1970;21,344;
64005000;1;1;22/01/1970;14,53;
64005000;1;1;23/01/1970;12,91;
64005000;1;1;24/01/1970;14,53;
64005000;1;1;25/01/1970;14,53;
64005000;1;1;26/01/1970;14,53;
64005000;1;1;27/01/1970;14,53;
64005000;1;1;28/01/1970;14,53;
64005000;1;1;29/01/1970;23,123;
64005000;1;1;30/01/1970;12,91;
64005000;1;1;31/01/1970;16,185;
64005000;1;1;01/02/1970;17,025;
64005000;1;1;02/02/1970;18,73;
64005000;1;1;03/02/1970;14,53;
64005000;1;1;04/02/1970;17,025;
64005000;1;1;05/02/1970;27,683;
64005000;1;1;06/02/1970;16,185;
64005000;1;1;07/02/1970;12,91;
64005000;1;1;08/02/1970;12,91;
64005000;1;1;09/02/1970;12,91;
64005000;1;1;10/02/1970;12,91;
64005000;1;1;11/02/1970;12,91;
64005000;1;1;12/02/1970;12,91;
64005000;1;1;13/02/1970;24,022;
64005000;1;1;14/02/1970;43,834;
64005000;1;1;15/02/1970;76,065;
64005000;1;1;16/02/1970;57,38;
64005000;1;1;17/02/1970;47,926;
64005000;1;1;18/02/1970;74,938;
64005000;1;1;19/02/1970;115,838;
64005000;1;1;20/02/1970;47,308;
64005000;1;1;21/02/1970;83,351;
64005000;1;1;22/02/1970;68,912;
64005000;1;1;23/02/1970;51,459;
64005000;1;1;24/02/1970;43,227;
64005000;1;1;25/02/1970;31,441;
64005000;1;1;26/02/1970;76,517;
64005000;1;1;27/02/1970;63,204;
64005000;1;1;28/02/1970;28,614;
64005000;1;1;01/03/1970;28,241;
64005000;1;1;02/03/1970;26,207;
64005000;1;1;03/03/1970;24,022;
64005000;1;1;04/03/1970;19,768;
64005000;1;1;05/03/1970;12,91;
64005000;1;1;06/03/1970;12,91;
64005000;1;1;07/03/1970;11,642;
64005000;1;1;08/03/1970;12,91;
64005000;1;1;09/03/1970;24,928;
64005000;1;1;10/03/1970;24,022;
64005000;1;1;11/03/1970;18,73;
64005000;1;1;12/03/1970;15,353;
64005000;1;1;13/03/1970;30,493;
64005000;1;1;14/03/1970;73,143;
64005000;1;1;15/03/1970;88,433;
64005000;1;1;16/03/1970;43,227;
64005000;1;1;17/03/1970;22,23;
64005000;1;1;18/03/1970;65,388;
64005000;1;1;19/03/1970;52,507;
64005000;1;1;20/03/1970;28,614;
64005000;1;1;21/03/1970;12,91;
64005000;1;1;22/03/1970;12,75;
64005000;1;1;23/03/1970;12,431;
64005000;1;1;24/03/1970;14,04;
64005000;1;1;25/03/1970;42,218;
64005000;1;1;26/03/1970;86,81;
64005000;1;1;27/03/1970;45,258;
64005000;1;1;28/03/1970;29,551;
64005000;1;1;29/03/1970;16,185;
64005000;1;1;30/03/1970;12,91;
64005000;1;1;31/03/1970;12,91;
64005000;1;1;01/04/1970;12,91;
64005000;1;1;02/04/1970;14,53;
64005000;1;1;03/04/1970;18,73;
64005000;1;1;04/04/1970;28,614;
64005000;1;1;05/04/1970;15,353;
64005000;1;1;06/04/1970;32,395;
64005000;1;1;07/04/1970;31,441;
64005000;1;1;08/04/1970;30,493;
64005000;1;1;09/04/1970;30,493;
64005000;1;1;10/04/1970;24,022;
64005000;1;1;11/04/1970;14,203;
64005000;1;1;12/04/1970;12,91;
64005000;1;1;13/04/1970;12,91;
64005000;1;1;14/04/1970;12,91;
64005000;1;1;15/04/1970;12,91;
64005000;1;1;16/04/1970;12,91;
64005000;1;1;17/04/1970;12,91;
64005000;1;1;18/04/1970;12,91;
64005000;1;1;19/04/1970;12,91;
64005000;1;1;20/04/1970;12,75;
64005000;1;1;21/04/1970;12,75;
64005000;1;1;22/04/1970;12,591;
64005000;1;1;23/04/1970;12,273;
64005000;1;1;24/04/1970;12,114;
64005000;1;1;25/04/1970;11,957;
64005000;1;1;26/04/1970;11,799;
64005000;1;1;27/04/1970;11,642;
64005000;1;1;28/04/1970;11,485;
64005000;1;1;29/04/1970;12,114;
64005000;1;1;30/04/1970;16,185;
64005000;1;1;01/05/1970;12,591;
64005000;1;1;02/05/1970;11,642;
64005000;1;1;03/05/1970;11,485;
64005000;1;1;04/05/1970;10,4;
64005000;1;1;05/05/1970;10,247;
64005000;1;1;06/05/1970;9,789;
64005000;1;1;07/05/1970;12,431;
64005000;1;1;08/05/1970;16,185;
64005000;1;1;09/05/1970;11,642;
64005000;1;1;10/05/1970;17,025;
64005000;1;1;11/05/1970;11,799;
64005000;1;1;12/05/1970;16,185;
64005000;1;1;13/05/1970;23,123;
64005000;1;1;14/05/1970;11,799;
64005000;1;1;15/05/1970;10,863;
64005000;1;1;16/05/1970;10,247;
64005000;1;1;17/05/1970;9,789;
64005000;1;1;18/05/1970;9,037;
64005000;1;1;19/05/1970;8,739;
64005000;1;1;20/05/1970;8,443;
64005000;1;1;21/05/1970;7,567;
64005000;1;1;22/05/1970;7,423;
64005000;1;1;23/05/1970;7,28;
64005000;1;1;24/05/1970;7,137;
64005000;1;1;25/05/1970;6,852;
64005000;1;1;26/05/1970;6,852;
64005000;1;1;27/05/1970;6,852;
64005000;1;1;28/05/1970;6,852;
64005000;1;1;29/05/1970;6,852;
64005000;1;1;30/05/1970;6,852;
64005000;1;1;31/05/1970;6,852;
64005000;1;1;01/06/1970;7,712;
64005000;1;1;02/06/1970;6,852;
64005000;1;1;03/06/1970;7,28;
64005000;1;1;04/06/1970;8,591;
64005000;1;1;05/06/1970;6,852;
64005000;1;1;06/06/1970;6,852;
64005000;1;1;07/06/1970;9,037;
64005000;1;1;08/06/1970;11,799;
64005000;1;1;09/06/1970;10,094;
64005000;1;1;10/06/1970;9,037;
64005000;1;1;11/06/1970;7,567;
64005000;1;1;12/06/1970;6,852;
64005000;1;1;13/06/1970;6,151;
64005000;1;1;14/06/1970;6,151;
64005000;1;1;15/06/1970;12,114;
64005000;1;1;16/06/1970;19,075;
64005000;1;1;17/06/1970;8,296;
64005000;1;1;18/06/1970;6,852;
64005000;1;1;19/06/1970;6,852;
64005000;1;1;20/06/1970;6,852;
64005000;1;1;21/06/1970;6,852;
64005000;1;1;22/06/1970;6,852;
64005000;1;1;23/06/1970;11,799;
64005000;1;1;24/06/1970;17,874;
64005000;1;1;25/06/1970;21,344;
64005000;1;1;26/06/1970;13,715;
64005000;1;1;27/06/1970;10,554;
64005000;1;1;28/06/1970;7,857;
64005000;1;1;29/06/1970;12,431;
64005000;1;1;30/06/1970;17,874;
64005000;1;1;01/07/1970;29,551;
64005000;1;1;02/07/1970;13,715;
64005000;1;1;03/07/1970;12,114;
64005000;1;1;04/07/1970;11,329;
64005000;1;1;05/07/1970;10,554;
64005000;1;1;06/07/1970;9,789;
64005000;1;1;07/07/1970;8,296;
64005000;1;1;08/07/1970;8,296;
64005000;1;1;09/07/1970;8,296;
64005000;1;1;10/07/1970;8,739;
64005000;1;1;11/07/1970;9,037;
64005000;1;1;12/07/1970;9,336;
64005000;1;1;13/07/1970;14,04;
64005000;1;1;14/07/1970;18,044;
64005000;1;1;15/07/1970;27,869;
64005000;1;1;16/07/1970;30,493;
64005000;1;1;17/07/1970;14,53;
64005000;1;1;18/07/1970;11,018;
64005000;1;1;19/07/1970;9,789;
